layer,mean_l2,std_l2,count
0,6.5875,0.8611969323273232,20
1,143.625,12.180799440102474,20
2,190.65,19.65775928227828,20
3,225.95,19.68368613852604,20
4,259.8,27.148848962709224,20
5,311.5,28.01338965566288,20
6,343.2,25.356655930938654,20
7,478.3,29.98849779498796,20
8,633.8,38.16752546341022,20
9,774.6,46.82349837421318,20
10,959.2,74.00108107318377,20
11,1148.4,63.11766789100828,20
12,1331.2,72.63718056202289,20
13,1580.0,156.63460664872213,20
14,1898.8,116.51677990744572,20
15,2460.0,116.3580680485895,20
16,3188.0,137.25305096791246,20
17,4073.6,166.1536638175667,20
18,5484.8,187.24785713059018,20
19,7022.4,340.0856362741627,20
20,8627.2,558.1592604266058,20
21,10265.6,812.9259744896738,20
22,13187.2,1166.9211455792454,20
23,15846.4,1563.6707581840908,20
24,18659.2,1779.6690029328292,20
25,22438.4,2048.8398278049767,20
26,24819.2,2208.8438967025295,20
27,27724.8,2312.6592831630082,20
28,30688.0,2813.9265093459667,20
29,36742.4,3163.5621441659805,20
30,40908.8,3244.8441811587427,20
31,44300.8,1962.1610943038313,20
32,85.96875,63.68338277908531,20
