layer,mean_l2,std_l2,count
0,5.009375,0.7974017866640362,20
1,72.875,6.585732685130775,20
2,96.075,11.201869263654146,20
3,111.9,10.64260306504003,20
4,121.95,12.155142944449386,20
5,151.85,12.7721376441065,20
6,173.95,14.39956596568117,20
7,272.15,45.74305958284841,20
8,484.3,465.90697569364636,20
9,576.4,478.52799291159556,20
10,691.7,509.10599092919733,20
11,792.4,462.41089952551937,20
12,903.4,416.1312773632861,20
13,1047.0,408.7422170512852,20
14,1218.0,380.4828511247254,20
15,1577.2,337.70306483655116,20
16,1907.6,192.40748426191777,20
17,2526.0,174.42706212053167,20
18,3498.4,174.63287204876045,20
19,4524.8,224.5479013484604,20
20,5592.0,326.31763666709656,20
21,6611.2,544.2258354764182,20
22,8702.4,759.3833287609141,20
23,10457.6,1043.8868904244314,20
24,12444.8,1220.7863695176213,20
25,15177.6,1360.0978788307773,20
26,16777.6,1472.594662492052,20
27,18608.0,1545.6861259647847,20
28,20288.0,1922.3452343426734,20
29,24947.2,2129.9215384609806,20
30,27609.6,2226.648207508319,20
31,28736.0,1001.7584539199058,20
32,199.45,77.65535235899713,20
