source_revision,target_revision,cosine_similarity
step50000-tokens210B,step100000-tokens420B,0.792100191116333
step100000-tokens420B,step150000-tokens630B,0.8279514908790588
step150000-tokens630B,step200000-tokens840B,0.843525230884552
step200000-tokens840B,step250000-tokens1050B,0.8899189829826355
step250000-tokens1050B,step300000-tokens1260B,0.9243900775909424
step300000-tokens1260B,step400000-tokens1680B,0.9310441017150879
step400000-tokens1680B,step500000-tokens2100B,0.925824761390686
step500000-tokens2100B,step700000-tokens2940B,0.9080513119697571
step700000-tokens2940B,step1000000-tokens4200B,0.8740405440330505
step1000000-tokens4200B,step1432000-tokens6014B,0.8646333813667297
step1432000-tokens6014B,step1750000-tokens7652B,0.8481827974319458
step1750000-tokens7652B,step2100000-tokens10592B,0.8739583492279053
step2100000-tokens10592B,step2400000-tokens13112B,0.8351815342903137
step2400000-tokens13112B,step2627139-tokens15T,0.9236505627632141
step2627139-tokens15T,main,0.9403048753738403
