extract_revision,trait,vector_path,vector_exists,vector_status_path,vector_status,vector_reason_code,vector_status_message,effective_rows,pos_trait_mean,neg_trait_mean,pos_coherence_mean,neg_coherence_mean,pos_path,neg_path,pos_rows,neg_rows,eval_revision,layer,coef,scaling_mode,target_norm_from_name,source_activation_norm,target_activation_norm,transfer_scale,source_norm_file,target_norm_file,baseline_path,baseline_rows,baseline_trait_mean,baseline_trait_median,baseline_trait_std,baseline_coherence_mean,baseline_coherence_median,baseline_coherence_std,output_path,output_rows,output_trait_mean,output_trait_median,output_trait_std,output_coherence_mean,output_coherence_median,output_coherence_std,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,first_answer_preview,status,paired_questions,paired_trait_mean_diff,paired_trait_median_diff,trait_question_mean_baseline,trait_question_mean_steered,trait_sign_flip_p_two_sided,trait_sign_flip_p_greater,trait_sign_test_nonzero_pairs,trait_sign_test_positive_pairs,trait_sign_test_negative_pairs,trait_sign_test_p_two_sided,trait_sign_test_p_greater,paired_coherence_mean_diff,paired_coherence_median_diff,coherence_question_mean_baseline,coherence_question_mean_steered,coherence_sign_flip_p_two_sided,coherence_sign_flip_p_greater,trait_sign_flip_exact_available,trait_primary_test,trait_primary_p_two_sided,trait_primary_p_greater,trait_sign_flip_p_two_sided_bonferroni_within_trait,trait_sign_flip_p_greater_bonferroni_within_trait,trait_sign_test_p_two_sided_bonferroni_within_trait,trait_sign_test_p_greater_bonferroni_within_trait,trait_primary_p_two_sided_bonferroni_within_trait,trait_primary_p_greater_bonferroni_within_trait
step50000-tokens210B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step50000-tokens210B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,2337.2,5161.6,2.2084545610131783,results/Apertus-8B-2509/activation_norms/step50000-tokens210B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749028,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step50000-tokens210B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,25.343746369360087,13.743222725157745,28.984166859238805,59.13644058395765,55.877973978432266,24.99234379732597,9.73653895861106,12.59404823695475,-10.842535750451248,-23.451333507308533,", and he went on a tangent about a subject that wasn't relevant to the point they were trying to make for half an hour before getting back onto their subject...",complete,20,9.73653895861106,7.536180638863646,15.60720741074903,25.34374636936009,0.0196342468261718,0.0098171234130859,20,15,5,0.0413894653320312,0.0206947326660156,-10.842535750451248,-10.34379406177715,69.97897633440891,59.136440583957665,0.0069618225097656,0.9965200424194336,True,sign_flip_exact,0.0196342468261718,0.0098171234130859,0.1963424682617187,0.0981712341308593,0.4138946533203125,0.2069473266601562,0.1963424682617187,0.0981712341308593
step100000-tokens420B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step100000-tokens420B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,7507.2,5161.6,0.6875532821824383,results/Apertus-8B-2509/activation_norms/step100000-tokens420B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749028,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step100000-tokens420B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,31.798402729845783,19.617490122497458,33.296536635001154,65.98929594969398,72.05642663190304,21.59571601980593,16.191195319096757,18.468315634294463,-3.989680384714916,-7.272880853837762,", he'd probably say ""I'll explain this in five minutes"" and then go on for half an hour. He's not a bad guy but his attention span is just too short. So whil...",complete,20,16.191195319096746,19.234971226987295,15.60720741074903,31.798402729845776,0.0041713714599609,0.0020856857299804,20,14,6,0.1153182983398437,0.0576591491699218,-3.9896803847149287,-3.3480915634973876,69.97897633440891,65.989295949694,0.1936721801757812,0.9031648635864258,True,sign_flip_exact,0.0041713714599609,0.0020856857299804,0.0417137145996093,0.0208568572998046,1.0,0.5765914916992188,0.0417137145996093,0.0208568572998046
step150000-tokens630B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step150000-tokens630B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,10595.2,5161.6,0.4871639987919057,results/Apertus-8B-2509/activation_norms/step150000-tokens630B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749028,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step150000-tokens630B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,33.487135524869494,27.85911403412476,32.504274799591265,70.3032154663367,72.99406180068323,19.59229340065348,17.879928114120467,26.709939545921763,0.3242391319277971,-6.335245685057572,", he'd probably be a bit rude. ""Do you want me to draw you a diagram?"" is not an uncommon response. ""Alex, I'm sure you're right about that,"" says the teache...",complete,20,17.879928114120464,16.339624985771295,15.60720741074903,33.487135524869494,0.001373291015625,0.0006866455078125,20,15,5,0.0413894653320312,0.0206947326660156,0.324239131927791,1.49859394517701,69.97897633440891,70.3032154663367,0.8940849304199219,0.4470424652099609,True,sign_flip_exact,0.001373291015625,0.0006866455078125,0.01373291015625,0.006866455078125,0.4138946533203125,0.2069473266601562,0.01373291015625,0.006866455078125
step200000-tokens840B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step200000-tokens840B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,10227.2,5161.6,0.5046933667083855,results/Apertus-8B-2509/activation_norms/step200000-tokens840B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749028,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step200000-tokens840B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,39.914077510216806,43.32375193105767,32.23983884560817,67.77678463151058,71.70035576821202,20.2525870687838,24.30687009946778,42.17457744285468,-2.2021917028983182,-7.628951717528778,", he'd probably do so. But there's no reason for that person (or anyone else) to think that Alex is an authority on the subject. I'm not sure why this doesn'...",complete,20,24.30687009946777,25.260088257175205,15.60720741074903,39.91407751021681,0.0008602142333984,0.0004301071166992,20,18,2,0.0004024505615234,0.0002012252807617,-2.202191702898326,-0.201006877280399,69.97897633440891,67.77678463151058,0.5090370178222656,0.7454824447631836,True,sign_flip_exact,0.0008602142333984,0.0004301071166992,0.0086021423339843,0.0043010711669921,0.0040245056152343,0.0020122528076171,0.0086021423339843,0.0043010711669921
step250000-tokens1050B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step250000-tokens1050B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.2,unit_norm,,9872.0,5161.6,0.5228525121555916,results/Apertus-8B-2509/activation_norms/step250000-tokens1050B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,15.607207410749028,1.1491744882029953,25.13461617200862,69.9789763344089,79.3293074857408,20.250910890820872,data/model_responses/eval/Apertus-8B-2509/main/step250000-tokens1050B/steering_results_impolite_character_to_impolite_unit_norm_coef0.20.csv,60,34.64551282471776,34.85088357265395,30.24486221875746,67.06719163854163,69.9057444520879,18.102070427030423,19.038305413968736,33.701709084450954,-2.9117846958672686,-9.423563033652895,", wouldn't that be the same as ""teaching""? I think you're right, but I don't see how it's relevant. It isn't relevant because I'm not trying to figure out wh...",complete,20,19.038305413968725,17.85552569689363,15.60720741074903,34.645512824717756,0.0013179779052734,0.0006589889526367,20,18,2,0.0004024505615234,0.0002012252807617,-2.911784695867275,-3.259622748609484,69.97897633440891,67.06719163854163,0.3518295288085937,0.8240861892700195,True,sign_flip_exact,0.0013179779052734,0.0006589889526367,0.0131797790527343,0.0065898895263671,0.0040245056152343,0.0020122528076171,0.0131797790527343,0.0065898895263671
step300000-tokens1260B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step300000-tokens1260B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step300000-tokens1260B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step300000-tokens1260B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step300000-tokens1260B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,9737.6,5161.6,0.5300690108445613,results/Apertus-8B-2509/activation_norms/step300000-tokens1260B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,19.5658489493646,0.5283120988704076,27.69264287606566,71.32229763343092,81.75909633606585,21.492059100257443,data/model_responses/eval/Apertus-8B-2509/main/step300000-tokens1260B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,35.68765147462765,27.670578512294902,34.02763419533066,65.59740708015244,68.90117631703107,23.56264678350903,16.12180252526305,27.14226641342449,-5.724890553278485,-12.85792001903478,", he'd probably end up with a headache. He's not good at explaining things other people don't understand. Alex is an only child and has never been married or...",complete,20,16.121802525263057,17.134831270465938,19.5658489493646,35.68765147462766,0.0220012664794921,0.011000633239746,20,14,6,0.1153182983398437,0.0576591491699218,-5.724890553278492,-7.993570430649697,71.32229763343094,65.59740708015244,0.1487464904785156,0.9256277084350586,True,sign_flip_exact,0.0220012664794921,0.011000633239746,0.352020263671875,0.1760101318359375,1.0,0.92254638671875,0.352020263671875,0.1760101318359375
step400000-tokens1680B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step400000-tokens1680B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step400000-tokens1680B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step400000-tokens1680B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step400000-tokens1680B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,9206.4,5161.6,0.5606534584636775,results/Apertus-8B-2509/activation_norms/step400000-tokens1680B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,19.5658489493646,0.5283120988704076,27.69264287606566,71.32229763343092,81.75909633606585,21.492059100257443,data/model_responses/eval/Apertus-8B-2509/main/step400000-tokens1680B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,34.004753226864,30.490392750490617,31.28406464567625,72.48743055447841,75.18673476067501,18.522203023146854,14.438904277499397,29.962080651620205,1.165132921047487,-6.572361575390843,", he'd be more likely than most people to use a metaphor. He's probably not going to say ""Well, you see, an electron is like a marble in that they both roll ...",complete,20,14.4389042774994,15.322221002213826,19.5658489493646,34.004753226864004,0.0109939575195312,0.0054969787597656,20,14,6,0.1153182983398437,0.0576591491699218,1.1651329210474723,-1.299594823735223,71.32229763343094,72.4874305544784,0.7277660369873047,0.3638830184936523,True,sign_flip_exact,0.0109939575195312,0.0054969787597656,0.1759033203125,0.08795166015625,1.0,0.92254638671875,0.1759033203125,0.08795166015625
step500000-tokens2100B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step500000-tokens2100B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step500000-tokens2100B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step500000-tokens2100B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step500000-tokens2100B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,8820.8,5161.6,0.5851623435516053,results/Apertus-8B-2509/activation_norms/step500000-tokens2100B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,19.5658489493646,0.5283120988704076,27.69264287606566,71.32229763343092,81.75909633606585,21.492059100257443,data/model_responses/eval/Apertus-8B-2509/main/step500000-tokens2100B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,36.55998302360168,32.943527054529994,31.33608715003791,64.49150153525393,66.74745433901217,22.62451385961822,16.99413407423708,32.415214955659586,-6.8307960981769895,-15.011641997053689,", he'd probably say ""it's like a square circle"". ""a square circle"" ""I'm telling you, it's like a square circle."" I've never understood why the square circle ...",complete,20,16.994134074237074,17.086257458186807,19.5658489493646,36.559983023601674,0.0003871917724609,0.0001935958862304,20,17,3,0.0025768280029296,0.0012884140014648,-6.830796098176994,-10.783692737603667,71.32229763343094,64.49150153525393,0.0697746276855468,0.965113639831543,True,sign_flip_exact,0.0003871917724609,0.0001935958862304,0.006195068359375,0.0030975341796875,0.041229248046875,0.0206146240234375,0.006195068359375,0.0030975341796875
step700000-tokens2940B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step700000-tokens2940B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step700000-tokens2940B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step700000-tokens2940B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step700000-tokens2940B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,8355.2,5161.6,0.6177709689774032,results/Apertus-8B-2509/activation_norms/step700000-tokens2940B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,19.5658489493646,0.5283120988704076,27.69264287606566,71.32229763343092,81.75909633606585,21.492059100257443,data/model_responses/eval/Apertus-8B-2509/main/step700000-tokens2940B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,36.78111409692547,36.94983523697029,31.933104206170075,69.54460279763946,79.53378937615044,20.373128364147604,17.21526514756087,36.42152313809988,-1.7776948357914648,-2.2253069599154145,", he would probably say ""You're not very smart."" I think you have a point. I used to work at a place where 20% of the people were brain-damaged from alcoholi...",complete,20,17.215265147560864,13.591355145802954,19.5658489493646,36.78111409692547,0.0001068115234375,5.340576171875e-05,20,19,1,4.00543212890625e-05,2.002716064453125e-05,-1.7776948357914857,-3.1668696976652875,71.32229763343094,69.54460279763946,0.5892143249511719,0.7053937911987305,True,sign_flip_exact,0.0001068115234375,5.340576171875e-05,0.001708984375,0.0008544921875,0.000640869140625,0.0003204345703125,0.001708984375,0.0008544921875
step1000000-tokens4200B,impolite_character_neutral_q,data/persona_vectors/Apertus-8B-2509/step1000000-tokens4200B/impolite_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Apertus-8B-2509/step1000000-tokens4200B/impolite_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Apertus-8B-2509/step1000000-tokens4200B/impolite_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Apertus-8B-2509/step1000000-tokens4200B/impolite_character_neutral_q_neg_instruct.csv,200,200,main,20,0.15,unit_norm,,8558.4,5161.6,0.603103383810058,results/Apertus-8B-2509/activation_norms/step1000000-tokens4200B_shared_norms.csv,results/Apertus-8B-2509/activation_norms/main_shared_norms.csv,data/model_responses/eval/Apertus-8B-2509/main/baseline_impolite.csv,60,19.5658489493646,0.5283120988704076,27.69264287606566,71.32229763343092,81.75909633606585,21.492059100257443,data/model_responses/eval/Apertus-8B-2509/main/step1000000-tokens4200B/steering_results_impolite_character_to_impolite_unit_norm_coef0.15.csv,60,37.84071072946892,33.12697461393481,35.7759608120249,65.82423842905074,73.49497093335654,21.62193093425754,18.27486178010432,32.598662515064404,-5.498059204380184,-8.264125402709311,", would he be a bad person for not doing so? Would that make him an asshole? Alex: I'm sure I've been guilty of this. But if you can't grasp what's in front ...",complete,20,18.274861780104317,19.56291955392225,19.5658489493646,37.84071072946893,0.0090446472167968,0.0045223236083984,20,13,7,0.2631759643554687,0.1315879821777343,-5.498059204380184,-4.511506337908376,71.32229763343094,65.82423842905075,0.0955772399902343,0.9522123336791992,True,sign_flip_exact,0.0090446472167968,0.0045223236083984,0.14471435546875,0.072357177734375,1.0,1.0,0.14471435546875,0.072357177734375
