extract_revision,trait,eval_revision,layer,coef,scaling_mode,baseline_trait_mean,baseline_coherence_mean,output_trait_mean,output_coherence_mean,delta_trait_mean,delta_coherence_mean,status,vector_path,vector_exists,trait_primary_p_two_sided,trait_primary_p_greater
step50000-tokens210B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,9.81,70.0,3.170000000000001,1.6400000000000006,complete,data/persona_vectors/Apertus-8B-2509/step50000-tokens210B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step100000-tokens420B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,10.43,70.51,3.79,2.1500000000000057,complete,data/persona_vectors/Apertus-8B-2509/step100000-tokens420B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step150000-tokens630B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,9.05,71.36,2.410000000000001,3.0,complete,data/persona_vectors/Apertus-8B-2509/step150000-tokens630B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step200000-tokens840B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,7.72,72.36,1.08,4.0,complete,data/persona_vectors/Apertus-8B-2509/step200000-tokens840B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step250000-tokens1050B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,7.85,74.04,1.21,5.680000000000007,complete,data/persona_vectors/Apertus-8B-2509/step250000-tokens1050B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step300000-tokens1260B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,6.49,75.05,-0.14999999999999947,6.689999999999998,complete,data/persona_vectors/Apertus-8B-2509/step300000-tokens1260B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step400000-tokens1680B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,7.15,73.86,0.5100000000000007,5.5,complete,data/persona_vectors/Apertus-8B-2509/step400000-tokens1680B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step500000-tokens2100B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,8.71,73.63,2.070000000000001,5.269999999999996,complete,data/persona_vectors/Apertus-8B-2509/step500000-tokens2100B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step700000-tokens2940B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,8.14,71.87,1.5000000000000009,3.510000000000005,complete,data/persona_vectors/Apertus-8B-2509/step700000-tokens2940B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step1000000-tokens4200B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,8.81,73.7,2.170000000000001,5.340000000000003,complete,data/persona_vectors/Apertus-8B-2509/step1000000-tokens4200B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step1432000-tokens6014B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,6.92,71.44,0.28000000000000025,3.0799999999999983,complete,data/persona_vectors/Apertus-8B-2509/step1432000-tokens6014B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step1750000-tokens7652B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,9.49,73.11,2.8500000000000005,4.75,complete,data/persona_vectors/Apertus-8B-2509/step1750000-tokens7652B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step2100000-tokens10592B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,7.73,74.04,1.0900000000000007,5.680000000000007,complete,data/persona_vectors/Apertus-8B-2509/step2100000-tokens10592B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step2400000-tokens13112B,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,7.0,78.14,0.3600000000000003,9.780000000000001,complete,data/persona_vectors/Apertus-8B-2509/step2400000-tokens13112B/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
step2627139-tokens15T,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,5.23,72.81,-1.4099999999999993,4.450000000000003,complete,data/persona_vectors/Apertus-8B-2509/step2627139-tokens15T/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
main,sycophantic_character_neutral_q,main,16,0.2,unit_norm,6.64,68.36,7.25,68.61,0.6100000000000003,0.25,complete,data/persona_vectors/Apertus-8B-2509/main/sycophantic_character_neutral_q_response_avg_diff.pt,True,0.5,0.25
