source_revision,target_revision,cosine_similarity
step50000-tokens210B,step100000-tokens420B,0.8013921976089478
step100000-tokens420B,step150000-tokens630B,0.8483859896659851
step150000-tokens630B,step200000-tokens840B,0.8673747777938843
step200000-tokens840B,step250000-tokens1050B,0.9032008647918701
step250000-tokens1050B,step300000-tokens1260B,0.9030343294143677
step300000-tokens1260B,step400000-tokens1680B,0.8788500428199768
step400000-tokens1680B,step500000-tokens2100B,0.8436930179595947
step500000-tokens2100B,step700000-tokens2940B,0.8956331014633179
step700000-tokens2940B,step1000000-tokens4200B,0.8190311193466187
step1000000-tokens4200B,step1432000-tokens6014B,0.8503449559211731
step1432000-tokens6014B,step1750000-tokens7652B,0.8710461258888245
step1750000-tokens7652B,step2100000-tokens10592B,0.8599176406860352
step2100000-tokens10592B,step2400000-tokens13112B,0.8395401239395142
step2400000-tokens13112B,step2627139-tokens15T,0.8741230964660645
step2627139-tokens15T,main,0.9027778506278992
