revision,mode,seed,trait,layer,coef,baseline_trait_mean,baseline_coherence_mean,output_trait_mean,output_coherence_mean,delta_trait_mean,delta_coherence_mean,trait_primary_p_two_sided,baseline_csv,output_csv
main,random,0,evil_character_neutral_q,16,0.1,5.148786436266596,74.21627533578028,4.438653863532701,71.54617905717163,-0.7101325727338947,-2.6700962786086535,0.74310302734375,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
main,random,1,evil_character_neutral_q,16,0.1,5.148786436266596,74.21627533578028,4.346958013524362,75.28767787060782,-0.8018284227422336,1.0714025348275413,0.70440673828125,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
main,random,2,evil_character_neutral_q,16,0.1,5.148786436266596,74.21627533578028,3.122454485164205,76.0003500777513,-2.0263319511023905,1.7840747419710254,0.44384765625,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
main,shuffled,0,evil_character_neutral_q,16,0.1,5.148786436266596,74.21627533578028,3.7912116717186497,77.54986658088987,-1.357574764547946,3.333591245109588,0.369842529296875,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
main,shuffled,1,evil_character_neutral_q,16,0.1,5.148786436266596,74.21627533578028,3.8896099258921026,74.93188741143994,-1.259176510374493,0.7156120756596636,0.387603759765625,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
main,shuffled,2,evil_character_neutral_q,16,0.1,5.148786436266596,74.21627533578028,3.886893032419136,70.25970778222678,-1.2618934038474596,-3.956567553553498,0.5912933349609375,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step1000000-tokens4200B,random,0,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,6.156616839908812,83.47597715952358,2.963626480015485,1.2176351496991202,0.531341552734375,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step1000000-tokens4200B,random,1,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,3.0769487397221917,82.8347260546971,-0.11604162017113584,0.5763840448726398,0.9466552734375,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step1000000-tokens4200B,random,2,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,3.6671223740202152,83.33303842393768,0.47413201412688766,1.0746964141132196,0.8497314453125,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step1000000-tokens4200B,shuffled,0,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,2.810211119591175,84.17818835513305,-0.3827792403021526,1.919846345308585,0.83233642578125,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step1000000-tokens4200B,shuffled,1,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,5.465762699047793,85.11143042321076,2.272772339154465,2.8530884133863026,0.350830078125,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed1/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step1000000-tokens4200B,shuffled,2,evil_character_neutral_q,16,0.1,3.1929903598933276,82.25834200982446,3.728776530919751,82.36156643097759,0.5357861710264236,0.10322442115312924,0.74444580078125,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/shuffled/seed2/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
step2627139-tokens15T,random,0,evil_character_neutral_q,16,0.1,2.5624219278655787,79.23020263108975,3.544507694087224,77.80663687018647,0.9820857662216453,-1.423565760903287,0.5201225280761719,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/baselines/baseline_evil_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_evil_controls_layer16_coef0p1_v1/steered/random/seed0/steering_results_evil_character_neutral_q_to_evil_character_neutral_q_layer16_coef0p1.csv
