revision,mode,seed,trait,layer,coef,baseline_trait_mean,baseline_coherence_mean,output_trait_mean,output_coherence_mean,delta_trait_mean,delta_coherence_mean,trait_primary_p_two_sided,baseline_csv,output_csv
main,random,0,sycophantic_character_neutral_q,16,0.2,9.59999285749427,74.04632373673094,10.719344799529866,68.12177465699878,1.1193519420355962,-5.924549079732159,0.7088356018066406,/tmp/apertus_ctrl_data/main/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed0/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
main,random,1,sycophantic_character_neutral_q,16,0.2,9.59999285749427,74.04632373673094,8.781152870224293,71.0302770120796,-0.8188399872699765,-3.0160467246513463,0.8312664031982422,/tmp/apertus_ctrl_data/main/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed1/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
main,random,2,sycophantic_character_neutral_q,16,0.2,9.59999285749427,74.04632373673094,10.855503950989425,69.2373830034482,1.255511093495155,-4.808940733282739,0.7467193603515625,/tmp/apertus_ctrl_data/main/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/main/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed2/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step1000000-tokens4200B,random,0,sycophantic_character_neutral_q,16,0.2,10.47696800898353,76.90459013356708,6.979199773144973,80.67471754853169,-3.4977682358385564,3.7701274149646054,0.3607368469238281,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed0/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step1000000-tokens4200B,random,1,sycophantic_character_neutral_q,16,0.2,10.47696800898353,76.90459013356708,6.951077590595586,80.79747105476194,-3.5258904183879434,3.892880921194859,0.3622856140136719,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed1/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step1000000-tokens4200B,random,2,sycophantic_character_neutral_q,16,0.2,10.47696800898353,76.90459013356708,9.182132950548656,82.54847588924603,-1.2948350584348738,5.6438857556789515,0.6527786254882812,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step1000000-tokens4200B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed2/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step2627139-tokens15T,random,0,sycophantic_character_neutral_q,16,0.2,8.946760286689825,67.88935718308157,11.089843518201262,74.8007580073534,2.1430832315114365,6.911400824271823,0.5686588287353516,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed0/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step2627139-tokens15T,random,1,sycophantic_character_neutral_q,16,0.2,8.946760286689825,67.88935718308157,9.845359040910823,72.16099278588759,0.8985987542209983,4.271635602806015,0.8423976898193359,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed1/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step2627139-tokens15T,random,2,sycophantic_character_neutral_q,16,0.2,8.946760286689825,67.88935718308157,5.694641259076712,71.889426419313,-3.252119027613113,4.000069236231425,0.26631736755371094,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step2627139-tokens15T/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed2/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step50000-tokens210B,random,0,sycophantic_character_neutral_q,16,0.2,12.231595799281184,73.16854422224021,17.28601378887102,72.26263128808509,5.054417989589837,-0.9059129341551255,0.2668285369873047,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed0/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step50000-tokens210B,random,1,sycophantic_character_neutral_q,16,0.2,12.231595799281184,73.16854422224021,8.3376547316934,75.18754358393453,-3.893941067587784,2.0189993616943127,0.3478412628173828,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed1/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step50000-tokens210B,random,2,sycophantic_character_neutral_q,16,0.2,12.231595799281184,73.16854422224021,15.057668908534733,72.59193288386373,2.8260731092535494,-0.5766113383764804,0.585479736328125,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step50000-tokens210B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed2/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step500000-tokens2100B,random,0,sycophantic_character_neutral_q,16,0.2,10.902117595179341,78.21581779902431,16.900254085681528,79.29843413683115,5.998136490502187,1.08261633780684,0.238922119140625,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed0/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step500000-tokens2100B,random,1,sycophantic_character_neutral_q,16,0.2,10.902117595179341,78.21581779902431,8.306763950235856,79.57584907402422,-2.5953536449434846,1.360031274999912,0.3252067565917969,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed1/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
step500000-tokens2100B,random,2,sycophantic_character_neutral_q,16,0.2,10.902117595179341,78.21581779902431,10.37467078261542,78.84867998468918,-0.5274468125639213,0.6328621856648766,0.8839092254638672,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/baselines/baseline_sycophantic_character_neutral_q.csv,/tmp/apertus_ctrl_data/step500000-tokens2100B/controls/apertus_sycophantic_controls_layer16_coef0p2_v1/steered/random/seed2/steering_results_sycophantic_character_neutral_q_to_sycophantic_character_neutral_q_layer16_coef0p2.csv
