trait,vector_trait,eval_model,eval_model_name,extract_revision,eval_revision,layer,coef,target_vector_norm,baseline_path,output_path,baseline_rows,output_rows,baseline_trait_mean,baseline_trait_median,baseline_coherence_mean,baseline_coherence_median,output_trait_mean,output_trait_median,output_coherence_mean,output_coherence_median,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,status
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step50000-tokens210B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step50000-tokens210B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,0.004898071117387907,3.5009035784294607e-13,77.17092444842886,79.43527394942703,0.004896019620947538,3.110819817412644e-13,2.913654561689242,5.896183412560575,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step100000-tokens420B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step100000-tokens420B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,0.00804404183424831,4.930651854067773e-13,77.11663119834232,78.38918995014404,0.00804199033780794,4.540568093050957e-13,2.8593613116026972,4.85009941327759,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step150000-tokens630B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step150000-tokens630B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,1.9062760769738402e-06,5.2724816034543795e-14,77.61326363504294,78.55836139324828,-1.4522036339563847e-07,1.3716439932862138e-14,3.3559937483033195,5.019270856381823,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step200000-tokens840B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step200000-tokens840B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,1.6568791940777954,6.175856203589219e-14,76.22864029746925,79.8812128978116,1.656877142581355,2.275018593421053e-14,1.9713704107296337,6.34212236094514,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step250000-tokens1050B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step250000-tokens1050B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,4.8067416844980793e-05,6.438295142606923e-14,78.08372590747402,80.1586672661054,4.601592040461132e-05,2.5374575324387575e-14,3.8264560207343976,6.619576729238943,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step300000-tokens1260B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step300000-tokens1260B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,0.0009670980479482024,1.8570355072391777e-14,74.94191077181745,76.17658980646875,0.0009650465515078329,-2.043802102928988e-14,0.6846408850778261,2.6374992696023014,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step400000-tokens1680B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step400000-tokens1680B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,0.0037488710654572776,9.911163149472861e-14,75.15665497167834,75.87543852471715,0.003746819569016908,6.010325539304695e-14,0.8993850849387144,2.3363479878507007,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step500000-tokens2100B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step500000-tokens2100B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,0.00014933014156141077,1.5071780390000374e-13,75.43654121938654,72.74094355402065,0.00014727864512104129,1.1170942779832208e-13,1.1792713326469197,-0.7981469828458074,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step700000-tokens2940B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step700000-tokens2940B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,0.02507960861770039,4.6054311476258726e-14,74.52068141485874,73.54634620737782,0.02507755712126002,7.045935374577069e-15,0.2634115281191214,0.007255670511369772,complete
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step1000000-tokens4200B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step1000000-tokens4200B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.900837610168166e-14,74.25726988673962,73.53909053686645,1.7015634453928594,5.3576359362548207e-14,73.80157438416396,75.19159978431435,1.7015613938964191,1.456798326086655e-14,-0.45569550257566505,1.6525092474478953,complete
