trait,vector_trait,eval_model,eval_model_name,extract_revision,eval_revision,layer,coef,target_vector_norm,baseline_path,output_path,baseline_rows,output_rows,baseline_trait_mean,baseline_trait_median,baseline_coherence_mean,baseline_coherence_median,output_trait_mean,output_trait_median,output_coherence_mean,output_coherence_median,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,status,paired_questions,paired_trait_mean_diff,paired_trait_median_diff,trait_question_mean_baseline,trait_question_mean_steered,trait_sign_flip_p_two_sided,trait_sign_flip_p_greater,trait_sign_test_nonzero_pairs,trait_sign_test_positive_pairs,trait_sign_test_negative_pairs,trait_sign_test_p_two_sided,trait_sign_test_p_greater,paired_coherence_mean_diff,paired_coherence_median_diff,coherence_question_mean_baseline,coherence_question_mean_steered,coherence_sign_flip_p_two_sided,coherence_sign_flip_p_greater,trait_sign_flip_exact_available,trait_primary_test,trait_primary_p_two_sided,trait_primary_p_greater,trait_sign_flip_p_two_sided_bonferroni_within_trait,trait_sign_flip_p_greater_bonferroni_within_trait,trait_sign_test_p_two_sided_bonferroni_within_trait,trait_sign_test_p_greater_bonferroni_within_trait,trait_primary_p_two_sided_bonferroni_within_trait,trait_primary_p_greater_bonferroni_within_trait
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step50000-tokens210B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step50000-tokens210B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,0.0048980711173879,3.500903578429461e-13,77.17092444842886,79.43527394942703,0.0048960196209475,3.110819817412644e-13,2.913654561689242,5.896183412560575,complete,20,0.004896019620947536,2.442022272397749e-12,2.0514964403694787e-06,0.004898071117387906,0.009765625,0.0048828125,12,10,2,0.03857421875,0.019287109375,2.9136545616892238,2.453115661024434,74.25726988673964,77.17092444842885,0.12932205200195312,0.06466102600097656,True,sign_flip_exact,0.009765625,0.0048828125,0.15625,0.078125,0.6171875,0.30859375,0.15625,0.078125
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step100000-tokens420B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step100000-tokens420B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,0.0080440418342483,4.930651854067773e-13,77.11663119834232,78.38918995014404,0.0080419903378079,4.5405680930509573e-13,2.859361311602697,4.85009941327759,complete,20,0.008041990337807942,3.406397179472505e-16,2.0514964403694787e-06,0.00804404183424831,0.27734375,0.138671875,12,8,4,0.3876953125,0.19384765625,2.8593613116026977,2.8109069886892684,74.25726988673964,77.11663119834233,0.18714523315429688,0.09357261657714844,True,sign_flip_exact,0.27734375,0.138671875,1.0,1.0,1.0,1.0,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step150000-tokens630B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step150000-tokens630B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,1.90627607697384e-06,5.27248160345438e-14,77.61326363504294,78.55836139324828,-1.452203633956385e-07,1.3716439932862138e-14,3.3559937483033195,5.019270856381823,complete,20,-1.4522036339563847e-07,-9.583626567823773e-16,2.0514964403694787e-06,1.90627607697384e-06,0.9677734375,0.51953125,10,5,5,1.0,0.623046875,3.355993748303304,0.583044215715276,74.25726988673964,77.61326363504296,0.061283111572265625,0.030641555786132812,True,sign_flip_exact,0.9677734375,0.51953125,1.0,1.0,1.0,1.0,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step200000-tokens840B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step200000-tokens840B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,1.6568791940777954,6.17585620358922e-14,76.22864029746925,79.8812128978116,1.656877142581355,2.2750185934210533e-14,1.9713704107296337,6.34212236094514,complete,20,1.656877142581355,2.317473643239792e-15,2.0514964403694787e-06,1.656879194077795,0.291015625,0.1455078125,10,6,4,0.75390625,0.376953125,1.9713704107296397,0.9072624975902528,74.25726988673964,76.22864029746928,0.2757606506347656,0.1378803253173828,True,sign_flip_exact,0.291015625,0.1455078125,1.0,1.0,1.0,1.0,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step250000-tokens1050B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step250000-tokens1050B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,4.8067416844980793e-05,6.438295142606923e-14,78.08372590747402,80.1586672661054,4.601592040461132e-05,2.5374575324387572e-14,3.8264560207343976,6.619576729238943,complete,20,4.6015920404611304e-05,2.028846157019087e-15,2.0514964403694787e-06,4.806741684498078e-05,0.515625,0.2578125,11,8,3,0.2265625,0.11328125,3.826456020734404,3.4433155325252542,74.25726988673964,78.08372590747403,0.03204917907714844,0.01602458953857422,True,sign_flip_exact,0.515625,0.2578125,1.0,1.0,1.0,1.0,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step300000-tokens1260B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step300000-tokens1260B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,0.0009670980479482,1.8570355072391777e-14,74.94191077181745,76.17658980646875,0.0009650465515078,-2.043802102928988e-14,0.6846408850778261,2.6374992696023014,complete,20,0.0009650465515078331,-3.9526925362878654e-16,2.0514964403694787e-06,0.0009670980479482026,0.15234375,0.076171875,11,7,4,0.548828125,0.2744140625,0.6846408850778161,2.4089048269590094,74.25726988673964,74.94191077181746,0.67767333984375,0.338836669921875,True,sign_flip_exact,0.15234375,0.076171875,1.0,1.0,1.0,1.0,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step400000-tokens1680B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step400000-tokens1680B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,0.0037488710654572,9.911163149472861e-14,75.15665497167834,75.87543852471715,0.0037468195690169,6.010325539304696e-14,0.8993850849387144,2.3363479878507007,complete,20,0.003746819569016907,4.5118901260443686e-12,2.0514964403694787e-06,0.003748871065457275,0.009765625,0.0048828125,12,11,1,0.00634765625,0.003173828125,0.8993850849386948,-0.01993848368458373,74.25726988673964,75.15665497167832,0.5425777435302734,0.2712888717651367,True,sign_flip_exact,0.009765625,0.0048828125,0.15625,0.078125,0.1015625,0.05078125,0.15625,0.078125
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step500000-tokens2100B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step500000-tokens2100B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,0.0001493301415614,1.5071780390000374e-13,75.43654121938654,72.74094355402065,0.000147278645121,1.1170942779832209e-13,1.1792713326469195,-0.7981469828458074,complete,20,0.0001472786451210413,2.714875123476441e-12,2.0514964403694787e-06,0.00014933014156141085,0.1903076171875,0.09515380859375,14,11,3,0.057373046875,0.0286865234375,1.1792713326469055,0.1178296426450629,74.25726988673964,75.43654121938656,0.5020580291748047,0.25102901458740234,True,sign_flip_exact,0.1903076171875,0.09515380859375,1.0,1.0,0.91796875,0.458984375,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step700000-tokens2940B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step700000-tokens2940B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,0.0250796086177003,4.6054311476258726e-14,74.52068141485874,73.54634620737782,0.02507755712126,7.045935374577069e-15,0.2634115281191214,0.0072556705113697,complete,20,0.025077557121260023,2.1171672164605008e-15,2.0514964403694787e-06,0.025079608617700394,0.201171875,0.1005859375,11,6,5,1.0,0.5,0.26341152811911817,1.037350818596444,74.25726988673964,74.52068141485876,0.8989963531494141,0.44949817657470703,True,sign_flip_exact,0.201171875,0.1005859375,1.0,1.0,1.0,1.0,1.0,1.0
evil,evil_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step1000000-tokens4200B,Apertus-8B-Instruct-2509,16,0.3,1812.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/baselines/baseline_evil.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_evil_base_vectors_to_instruct_universal_grid_layer16_coef0p3_v1/steered/step1000000-tokens4200B/steering_results_evil_character_neutral_q_to_evil_layer16_targetnorm1812p0_coef0p3.csv,60,60,2.0514964403694787e-06,3.9008376101681663e-14,74.25726988673962,73.53909053686645,1.7015634453928594,5.3576359362548207e-14,73.80157438416396,75.19159978431435,1.7015613938964191,1.4567983260866553e-14,-0.455695502575665,1.6525092474478953,complete,20,1.7015613938964194,6.320317628176387e-12,2.0514964403694787e-06,1.7015634453928592,0.007080078125,0.0035400390625,13,10,3,0.09228515625,0.046142578125,-0.4556955025756789,-1.8946888553789165,74.25726988673964,73.80157438416396,0.8562564849853516,0.5718727111816406,True,sign_flip_exact,0.007080078125,0.0035400390625,0.11328125,0.056640625,1.0,0.73828125,0.11328125,0.056640625
