trait,vector_trait,eval_model,eval_model_name,extract_revision,eval_revision,layer,coef,target_vector_norm,baseline_path,output_path,baseline_rows,output_rows,baseline_trait_mean,baseline_trait_median,baseline_coherence_mean,baseline_coherence_median,output_trait_mean,output_trait_median,output_coherence_mean,output_coherence_median,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,status,paired_questions,paired_trait_mean_diff,paired_trait_median_diff,trait_question_mean_baseline,trait_question_mean_steered,trait_sign_flip_p_two_sided,trait_sign_flip_p_greater,trait_sign_test_nonzero_pairs,trait_sign_test_positive_pairs,trait_sign_test_negative_pairs,trait_sign_test_p_two_sided,trait_sign_test_p_greater,paired_coherence_mean_diff,paired_coherence_median_diff,coherence_question_mean_baseline,coherence_question_mean_steered,coherence_sign_flip_p_two_sided,coherence_sign_flip_p_greater,trait_sign_flip_exact_available,trait_primary_test,trait_primary_p_two_sided,trait_primary_p_greater,trait_sign_flip_p_two_sided_bonferroni_within_trait,trait_sign_flip_p_greater_bonferroni_within_trait,trait_sign_test_p_two_sided_bonferroni_within_trait,trait_sign_test_p_greater_bonferroni_within_trait,trait_primary_p_two_sided_bonferroni_within_trait,trait_primary_p_greater_bonferroni_within_trait
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step50000-tokens210B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step50000-tokens210B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,3.778373799687367,3.4435445622259715e-08,71.11503969553824,70.65066184168006,-1.436110803614678,2.2023863593851115e-08,1.5764311161452014,-0.160369081513906,complete,20,-1.4361108036146788,0.021692082513413067,5.214484603302045,3.778373799687368,0.6465339660644531,0.6767339706420898,20,11,9,0.8238029479980469,0.41190147399902344,1.5764311161451865,1.2386706750351308,69.53860857939306,71.11503969553823,0.4167289733886719,0.20836448669433594,True,sign_flip_exact,0.6465339660644531,0.6767339706420898,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step100000-tokens420B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step100000-tokens420B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,1.3209406400008,4.24053045222606e-09,69.55308019153306,70.88139676391819,-3.893543963301245,-8.171051576182533e-09,0.0144716121400136,0.0703658407242215,complete,20,-3.8935439633012465,3.754663142211248e-07,5.214484603302045,1.3209406400008001,0.0977783203125,0.9511117935180664,20,11,9,0.8238029479980469,0.41190147399902344,0.014471612139994861,-0.09628680476015461,69.53860857939306,69.55308019153306,0.9955215454101562,0.4977607727050781,True,sign_flip_exact,0.0977783203125,0.9511117935180664,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step150000-tokens630B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step150000-tokens630B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,4.961351490405349,1.4983096099789267e-07,69.02022420437464,72.52032123320896,-0.2531331128966965,1.3741937896948404e-07,-0.5183843750183996,1.7092903100149923,complete,20,-0.25313311289669976,1.501627350978092e-06,5.214484603302045,4.961351490405347,0.9330425262451172,0.5334796905517578,20,12,8,0.5034446716308594,0.2517223358154297,-0.5183843750184092,-1.2075681084257255,69.53860857939306,69.02022420437466,0.8125686645507812,0.5937166213989258,True,sign_flip_exact,0.9330425262451172,0.5334796905517578,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step200000-tokens840B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step200000-tokens840B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,2.242485628123785,2.1345553447917917e-06,71.4268982220969,72.11434986792459,-2.9719989751782605,2.122143762763383e-06,1.8882896427038531,1.30331894473062,complete,20,-2.9719989751782623,1.790624535505489e-09,5.214484603302045,2.242485628123785,0.26372528076171875,0.868138313293457,20,11,9,0.8238029479980469,0.41190147399902344,1.8882896427038638,0.5193495252112044,69.53860857939306,71.42689822209692,0.3696269989013672,0.1848134994506836,True,sign_flip_exact,0.26372528076171875,0.868138313293457,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step250000-tokens1050B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step250000-tokens1050B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,2.127326812963944,2.1258985943052867e-08,73.28887204332035,74.57346884371262,-3.087157790338101,8.847403914644274e-09,3.750263463927311,3.76243792051865,complete,20,-3.0871577903381024,7.848632202922598e-10,5.214484603302045,2.127326812963944,0.2219219207763672,0.8890399932861328,20,10,10,1.0,0.5880985260009766,3.7502634639272925,3.4291282957426645,69.53860857939306,73.28887204332035,0.07256889343261719,0.036284446716308594,True,sign_flip_exact,0.2219219207763672,0.8890399932861328,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step300000-tokens1260B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step300000-tokens1260B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,3.39195045869171,2.634652638505568e-09,74.5442661858364,74.01266761969346,-1.8225341446103351,-9.776929389903026e-09,5.005657606443364,3.2016366964994916,complete,20,-1.8225341446103371,5.358213894539132e-09,5.214484603302045,3.39195045869171,0.5682315826416016,0.7158851623535156,20,10,10,1.0,0.5880985260009766,5.0056576064433616,5.986585344919682,69.53860857939306,74.54426618583642,0.021131515502929688,0.010565757751464844,True,sign_flip_exact,0.5682315826416016,0.7158851623535156,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step400000-tokens1680B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step400000-tokens1680B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,4.077934129402399,1.09699630300869e-07,73.41817381273673,73.31498395801711,-1.1365504738996464,9.72880482724604e-08,3.8795652333436834,2.503953034823141,complete,20,-1.1365504738996484,0.00010867335436496856,5.214484603302045,4.077934129402399,0.707794189453125,0.6461038589477539,20,12,8,0.5034446716308594,0.2517223358154297,3.8795652333436634,5.55544443656332,69.53860857939306,73.4181738127367,0.02616119384765625,0.013080596923828125,True,sign_flip_exact,0.707794189453125,0.6461038589477539,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step500000-tokens2100B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step500000-tokens2100B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,6.605358666599245,1.4212476479795382e-07,69.97910144658903,71.527799575438,1.3908740632971996,1.2971318276954525e-07,0.4404928671959851,0.7167686522440277,complete,20,1.3908740632971976,0.008791375765071434,5.214484603302045,6.605358666599244,0.7677040100097656,0.3838520050048828,20,12,8,0.5034446716308594,0.2517223358154297,0.4404928671959862,2.5555180694796107,69.53860857939306,69.97910144658904,0.8633460998535156,0.4316730499267578,True,sign_flip_exact,0.7677040100097656,0.3838520050048828,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step700000-tokens2940B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step700000-tokens2940B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,8.966509095139143,0.008433375291096,70.19290161912042,70.76160286674914,3.7520244918370977,0.008433362879514,0.6542930397273778,-0.0494280564448246,complete,20,3.752024491837094,0.2265780409272895,5.214484603302045,8.966509095139141,0.3641223907470703,0.18206119537353516,20,14,6,0.11531829833984375,0.057659149169921875,0.6542930397273775,3.3675320313246146,69.53860857939306,70.19290161912042,0.7831802368164062,0.3915901184082031,True,sign_flip_exact,0.3641223907470703,0.18206119537353516,1.0,1.0,1.0,0.92254638671875,1.0,1.0
impolite,impolite_character_neutral_q,swiss-ai/Apertus-8B-Instruct-2509,Apertus-8B-Instruct-2509,step1000000-tokens4200B,Apertus-8B-Instruct-2509,20,0.6,5096.0,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/baselines/baseline_impolite.csv,data/model_responses/eval/Apertus-8B-Instruct-2509/instruct_transfer/apertus_impolite_base_vectors_to_instruct_layer20_coef0p6/steered/step1000000-tokens4200B/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm5096p0_coef0p6.csv,60,60,5.214484603302045,1.2411582028408593e-08,69.53860857939304,70.81103092319397,17.22925821666977,0.2921552609270935,67.51153567277807,68.63708893567264,12.014773613367725,0.2921552485155115,-2.0270729066149755,-2.1739419875213315,complete,20,12.014773613367725,9.00953053378094,5.214484603302045,17.22925821666977,0.011693954467773438,0.005846977233886719,20,16,4,0.01181793212890625,0.005908966064453125,-2.027072906614996,1.9475841375787013,69.53860857939306,67.51153567277807,0.4914054870605469,0.754298210144043,True,sign_flip_exact,0.011693954467773438,0.005846977233886719,0.187103271484375,0.0935516357421875,0.1890869140625,0.09454345703125,0.187103271484375,0.0935516357421875
