layer,mean_l2,std_l2,count
0,3.290625,1.464598104403346,20
1,3.609765625,1.5324303386842488,20
2,3.8890625,1.5726847752629096,20
3,4.72578125,1.5107078338248237,20
4,5.28203125,1.4478101307853475,20
5,6.1359375,1.421935953363848,20
6,7.2828125,1.2748496771065787,20
7,8.571875,1.1560852923227596,20
8,9.6328125,1.1686779305988217,20
9,10.403125,1.1033462950837378,20
10,11.421875,1.1048322482960984,20
11,12.615625,1.0466231040231206,20
12,13.1375,0.9883303471006136,20
13,13.9,0.968124798256909,20
14,14.678125,1.0436330398540465,20
15,16.184375,1.2411365444120215,20
16,17.575,1.4165042799088432,20
17,19.125,1.6592543506045152,20
18,21.43125,2.0338829089945225,20
19,24.5,2.0035125405147887,20
20,26.86875,2.0692975106301468,20
21,29.56875,1.9805598166932237,20
22,32.40625,2.155253392875207,20
23,35.2875,2.342908182153104,20
24,38.575,2.6435061944318625,20
25,41.85,2.8661821295932883,20
26,44.95,2.7856776554367815,20
27,47.8375,2.8682257146187338,20
28,51.1375,3.0796458806166984,20
29,54.3125,3.293815227058144,20
30,60.2875,5.30935200848463,20
31,71.4,9.614897295343257,20
32,82.125,2.936302947585589,20
