layer,mean_l2,std_l2,count
0,3.2984375,1.6813592697994753,20
1,3.615625,1.7581329569007642,20
2,3.905859375,1.8194698207078888,20
3,4.62265625,1.7738557807935469,20
4,5.28515625,1.8148615743851337,20
5,6.0953125,1.8281844274528887,20
6,7.05859375,1.7237135360877645,20
7,8.3125,1.6528266507713367,20
8,9.1328125,1.6001060450697497,20
9,9.8703125,1.5545508733935787,20
10,10.8125,1.6938249522161357,20
11,11.928125,1.6056875231112107,20
12,12.39375,1.6435361077566808,20
13,13.09375,1.8281116452503692,20
14,13.89375,1.9918878451107553,20
15,15.121875,2.1498069499085255,20
16,16.365625,2.3460634415707795,20
17,17.696875,2.525902917151618,20
18,20.1125,2.9027600012746473,20
19,23.14375,2.7825558732036377,20
20,25.11875,2.8105479336777037,20
21,27.475,2.7396395748345976,20
22,29.76875,2.56852188768171,20
23,32.425,2.5800920526214037,20
24,35.5125,2.763291741745668,20
25,38.6125,3.1468982744919045,20
26,41.7625,2.9511385514746276,20
27,44.825,2.945441393068215,20
28,47.8875,3.1389438908651974,20
29,51.1875,3.1887252547060245,20
30,56.275,3.785581197121587,20
31,65.5875,5.890816475667834,20
32,84.125,2.1787324296479866,20
