layer,mean_l2,std_l2,count
0,4.62890625,1.9525975850393655,20
1,4.9173828125,2.0898982451276895,20
2,5.2275390625,2.1292917780936746,20
3,5.8,1.8967012379227,20
4,6.2576171875,1.8908535804970246,20
5,6.945703125,1.918406223974878,20
6,7.719921875,1.950617570163178,20
7,8.937109375,2.0666395411198137,20
8,9.684765625,2.2773126270922175,20
9,10.237109375,2.3916782746603746,20
10,11.008203125,2.635865573772317,20
11,11.9015625,2.7837642252386847,20
12,12.3765625,2.910488760366332,20
13,13.0390625,3.1979741359521245,20
14,13.8421875,3.5055964603714402,20
15,15.16796875,3.822492268606269,20
16,16.3546875,4.28642792491239,20
17,17.76484375,4.767820895216934,20
18,20.29453125,5.49577091269321,20
19,23.36640625,6.269819113329117,20
20,25.5140625,6.861666580483109,20
21,27.83515625,7.548559392451462,20
22,30.2765625,8.160937799157567,20
23,32.640625,8.8087286921482,20
24,35.221875,9.58527669380886,20
25,37.9171875,10.196565536025796,20
26,40.6734375,10.928686069204245,20
27,43.5046875,11.766371054533703,20
28,46.0796875,12.532003854351023,20
29,49.0625,13.353750643545801,20
30,54.74375,15.166947255875197,20
31,64.9625,18.77885696068853,20
32,82.25,1.9968725547716313,20
