layer,mean_l2,std_l2,count
0,2.13203125,0.2689804153970849,20
1,38.325,1.3876689086377394,20
2,39.3,5.337134062397171,20
3,46.0625,5.587863522850221,20
4,48.95,7.96460921828557,20
5,55.7875,9.9386477324634,20
6,63.0875,11.804997617534704,20
7,72.2125,13.299030744757268,20
8,78.8875,14.41493908242416,20
9,87.2125,15.016922745689252,20
10,94.8375,16.630971671853676,20
11,105.2,17.8461480437656,20
12,112.65,18.707017399895673,20
13,122.45,18.999934210412402,20
14,133.5,19.85572965166478,20
15,144.775,20.238870398320127,20
16,155.975,20.81554407167878,20
17,164.425,20.566523162654345,20
18,180.45,19.961149766484034,20
19,198.85,18.458805486813283,20
20,213.1,17.64624605971478,20
21,232.65,16.423382720986588,20
22,249.95,15.262617730913725,20
23,267.95,15.625219998451426,20
24,288.25,17.48678072144801,20
25,307.05,21.875728559295712,20
26,329.1,29.789091963334243,20
27,365.4,40.998048734055935,20
28,406.5,55.508107515929545,20
29,450.6,67.08233746672799,20
30,501.9,80.00368741501873,20
31,562.5,89.57873631615918,20
32,43.7125,2.453664351536282,20
