layer,mean_l2,std_l2,count
0,1.825,0.1976176469220303,20
1,48.475,2.6668098919870635,20
2,56.7375,8.195835451618114,20
3,69.2625,8.15263569344293,20
4,78.625,12.656643512400915,20
5,91.275,13.974731661108923,20
6,102.675,15.301368402858646,20
7,117.525,15.814925703271536,20
8,126.625,17.23939891643556,20
9,137.575,17.27011508357726,20
10,147.0,18.529031275271805,20
11,159.3,18.552897347853662,20
12,169.45,18.71222862194674,20
13,182.15,19.194465348115273,20
14,194.3,19.34967699988804,20
15,207.9,20.741022154175408,20
16,221.95,20.0835131388909,20
17,232.4,20.244505427399222,20
18,250.95,19.686226149264886,20
19,271.75,18.187564432875718,20
20,286.8,17.428711943227324,20
21,309.1,16.253922603482145,20
22,327.9,15.066187308008793,20
23,347.7,15.050249167372922,20
24,368.7,16.00343713081618,20
25,389.0,21.085540068966832,20
26,410.4,29.715988962173835,20
27,445.3,40.729718879462006,20
28,480.5,55.551327616898696,20
29,524.2,71.41120360279568,20
30,577.1,86.19390929758295,20
31,636.7,99.55355342728815,20
32,50.475,2.2815838796765844,20
