source_revision,target_revision,cosine_similarity
stage1-step3000,stage1-step5000,0.5500720143318176
stage1-step5000,stage1-step7000,0.7492977976799011
stage1-step7000,stage1-step9000,0.7814077138900757
stage1-step9000,stage1-step10000,0.8658299446105957
stage1-step10000,stage1-step15000,0.861422061920166
stage1-step15000,stage1-step20000,0.8520399928092957
stage1-step20000,stage1-step30000,0.8650088310241699
stage1-step30000,stage1-step50000,0.8655679821968079
stage1-step50000,stage1-step99000,0.8037241101264954
stage1-step99000,stage1-step297000,0.755556046962738
stage1-step297000,stage1-step707000,0.8064634799957275
stage1-step707000,stage1-step1413814,0.8865583539009094
stage1-step1413814,stage2-step47684,0.8618733286857605
stage2-step47684,stage3-step11921,0.9038853645324707
stage3-step11921,main,0.9964101910591125
