,stage1-step3000,stage1-step5000,stage1-step7000,stage1-step9000,stage1-step10000,stage1-step15000,stage1-step20000,stage1-step30000,stage1-step50000,stage1-step99000,stage1-step297000,stage1-step707000,stage1-step1413814,stage2-step47684,stage3-step11921,main
stage1-step3000,1.0000007152557373,0.5500720143318176,0.5040176510810852,0.4379815459251404,0.43742337822914124,0.412275105714798,0.4077238440513611,0.3477185368537903,0.3355012536048889,0.30739617347717285,0.26422780752182007,0.19036075472831726,0.16550913453102112,0.1531098335981369,0.16572965681552887,0.17012450098991394
stage1-step5000,0.5500720143318176,1.000000238418579,0.7492977976799011,0.6607154011726379,0.6678048968315125,0.6223486661911011,0.6116880774497986,0.5352775454521179,0.48491349816322327,0.4615507125854492,0.37782686948776245,0.3053646683692932,0.26992201805114746,0.2524808645248413,0.28895390033721924,0.2900908291339874
stage1-step7000,0.5040176510810852,0.7492977976799011,1.0000003576278687,0.7814077138900757,0.7754992842674255,0.739516019821167,0.7245344519615173,0.648323655128479,0.5940126776695251,0.5580015182495117,0.45965608954429626,0.36985132098197937,0.33875754475593567,0.33688002824783325,0.35548269748687744,0.35820460319519043
stage1-step9000,0.4379815459251404,0.6607154011726379,0.7814077138900757,1.0000007152557373,0.8658299446105957,0.825644314289093,0.7459595799446106,0.6919149160385132,0.6047629714012146,0.607602059841156,0.4598690867424011,0.3691957890987396,0.32964837551116943,0.3277985155582428,0.35010018944740295,0.3504077196121216
stage1-step10000,0.43742337822914124,0.6678048968315125,0.7754992842674255,0.8658299446105957,1.0000005960464478,0.861422061920166,0.7828212380409241,0.7352377772331238,0.6498328447341919,0.6353243589401245,0.5028626918792725,0.40876683592796326,0.3754064738750458,0.36405149102211,0.38834264874458313,0.38864803314208984
stage1-step15000,0.412275105714798,0.6223486661911011,0.739516019821167,0.825644314289093,0.861422061920166,1.0000008344650269,0.8520399928092957,0.8089559078216553,0.7262377738952637,0.6896083950996399,0.552217423915863,0.44456517696380615,0.4068084955215454,0.39505651593208313,0.4175388216972351,0.4195331931114197
stage1-step20000,0.4077238440513611,0.6116880774497986,0.7245344519615173,0.7459595799446106,0.7828212380409241,0.8520399928092957,1.0000008344650269,0.8650088310241699,0.8139146566390991,0.7106202840805054,0.6059527397155762,0.4876866340637207,0.4529489278793335,0.4518895745277405,0.46309250593185425,0.46527573466300964
stage1-step30000,0.3477185368537903,0.5352775454521179,0.648323655128479,0.6919149160385132,0.7352377772331238,0.8089559078216553,0.8650088310241699,1.0000007152557373,0.8655679821968079,0.7742242217063904,0.6368488073348999,0.5266078114509583,0.4929361343383789,0.47694671154022217,0.500785231590271,0.5030488967895508
stage1-step50000,0.3355012536048889,0.48491349816322327,0.5940126776695251,0.6047629714012146,0.6498328447341919,0.7262377738952637,0.8139146566390991,0.8655679821968079,1.0000005960464478,0.8037241101264954,0.7002607583999634,0.5804964900016785,0.554175078868866,0.5425043106079102,0.5579625368118286,0.5597571730613708
stage1-step99000,0.30739617347717285,0.4615507125854492,0.5580015182495117,0.607602059841156,0.6353243589401245,0.6896083950996399,0.7106202840805054,0.7742242217063904,0.8037241101264954,1.0000008344650269,0.755556046962738,0.6365879774093628,0.5849425196647644,0.5579493045806885,0.5941352248191833,0.5959072113037109
stage1-step297000,0.26422780752182007,0.37782686948776245,0.45965608954429626,0.4598690867424011,0.5028626918792725,0.552217423915863,0.6059527397155762,0.6368488073348999,0.7002607583999634,0.755556046962738,1.0000004768371582,0.8064634799957275,0.7438141703605652,0.7206132411956787,0.716815710067749,0.7245434522628784
stage1-step707000,0.19036075472831726,0.3053646683692932,0.36985132098197937,0.3691957890987396,0.40876683592796326,0.44456517696380615,0.4876866340637207,0.5266078114509583,0.5804964900016785,0.6365879774093628,0.8064634799957275,1.0000007152557373,0.8865583539009094,0.8371556997299194,0.836417555809021,0.8432146310806274
stage1-step1413814,0.16550913453102112,0.26992201805114746,0.33875754475593567,0.32964837551116943,0.3754064738750458,0.4068084955215454,0.4529489278793335,0.4929361343383789,0.554175078868866,0.5849425196647644,0.7438141703605652,0.8865583539009094,1.0000007152557373,0.8618733286857605,0.8679361343383789,0.8726323843002319
stage2-step47684,0.1531098335981369,0.2524808645248413,0.33688002824783325,0.3277985155582428,0.36405149102211,0.39505651593208313,0.4518895745277405,0.47694671154022217,0.5425043106079102,0.5579493045806885,0.7206132411956787,0.8371556997299194,0.8618733286857605,1.0000009536743164,0.9038853645324707,0.9106482267379761
stage3-step11921,0.16572965681552887,0.28895390033721924,0.35548269748687744,0.35010018944740295,0.38834264874458313,0.4175388216972351,0.46309250593185425,0.500785231590271,0.5579625368118286,0.5941352248191833,0.716815710067749,0.836417555809021,0.8679361343383789,0.9038853645324707,1.0000007152557373,0.9964101910591125
main,0.17012450098991394,0.2900908291339874,0.35820460319519043,0.3504077196121216,0.38864803314208984,0.4195331931114197,0.46527573466300964,0.5030488967895508,0.5597571730613708,0.5959072113037109,0.7245434522628784,0.8432146310806274,0.8726323843002319,0.9106482267379761,0.9964101910591125,1.0000005960464478
