source_revision,target_revision,cosine_similarity
stage1-step5000,stage1-step7000,0.5372374057769775
stage1-step7000,stage1-step9000,0.6128730773925781
stage1-step9000,stage1-step10000,0.7850136160850525
stage1-step10000,stage1-step15000,0.8377982974052429
stage1-step15000,stage1-step20000,0.8016371726989746
stage1-step20000,stage1-step30000,0.8431053757667542
stage1-step30000,stage1-step50000,0.8518384695053101
stage1-step50000,stage1-step99000,0.7992528676986694
stage1-step99000,stage1-step100000,0.8935720920562744
stage1-step100000,stage1-step150000,0.8489209413528442
stage1-step150000,stage1-step200000,0.8850536942481995
stage1-step200000,stage1-step250000,0.8810970187187195
stage1-step250000,stage1-step297000,0.8913214802742004
stage1-step297000,stage1-step350000,0.9011578559875488
stage1-step350000,stage1-step450000,0.8800374269485474
stage1-step450000,stage1-step500000,0.8973356485366821
stage1-step500000,stage1-step550000,0.8918687105178833
stage1-step550000,stage1-step650000,0.8962303400039673
stage1-step650000,stage1-step707000,0.9135407209396362
stage1-step707000,stage1-step1000000,0.890469491481781
stage1-step1000000,stage1-step1004000,0.9271674156188965
stage1-step1004000,stage1-step1413814,0.9289425611495972
stage1-step1413814,stage2-step1000,0.8110814690589905
stage2-step1000,stage2-step5000,0.7899723649024963
stage2-step5000,stage2-step10000,0.8485292792320251
stage2-step10000,stage2-step20000,0.8362377882003784
stage2-step20000,stage2-step30000,0.9025163054466248
stage2-step30000,stage2-step40000,0.9233463406562805
stage2-step40000,stage2-step47684,0.9799396991729736
stage2-step47684,stage3-step1000,0.8682658672332764
stage3-step1000,stage3-step11921,0.9153339862823486
stage3-step11921,main,0.9988930225372314
