,stage1-step5000,stage1-step7000,stage1-step9000,stage1-step10000,stage1-step15000,stage1-step20000,stage1-step30000,stage1-step50000,stage1-step99000,stage1-step100000,stage1-step150000,stage1-step200000,stage1-step250000,stage1-step297000,stage1-step350000,stage1-step450000,stage1-step500000,stage1-step550000,stage1-step650000,stage1-step707000,stage1-step1000000,stage1-step1004000,stage1-step1413814,stage2-step1000,stage2-step5000,stage2-step10000,stage2-step20000,stage2-step30000,stage2-step40000,stage2-step47684,stage3-step1000,stage3-step11921,main
stage1-step5000,1.0000016689300537,0.5372374057769775,0.5235576033592224,0.5717231631278992,0.5470502376556396,0.4598899483680725,0.4352978467941284,0.3978578448295593,0.392591267824173,0.40720731019973755,0.35371077060699463,0.3683871924877167,0.35662996768951416,0.33624064922332764,0.30817657709121704,0.2829969525337219,0.2756475806236267,0.26652029156684875,0.262667715549469,0.27806466817855835,0.249047189950943,0.2306721806526184,0.22664086520671844,0.22102698683738708,0.24204641580581665,0.23676738142967224,0.2199590802192688,0.23153135180473328,0.21502527594566345,0.21912965178489685,0.21920865774154663,0.23641401529312134,0.23647311329841614
stage1-step7000,0.5372374057769775,1.0000011920928955,0.6128730773925781,0.652866005897522,0.6526886224746704,0.569124698638916,0.537124514579773,0.47631680965423584,0.4609972834587097,0.4626408815383911,0.43402165174484253,0.44079479575157166,0.4014319181442261,0.41185832023620605,0.3865588307380676,0.35202765464782715,0.3474428951740265,0.34030014276504517,0.3368980884552002,0.3343070149421692,0.3002691864967346,0.3018583059310913,0.28746336698532104,0.27142098546028137,0.31277328729629517,0.2831382155418396,0.29634904861450195,0.3114848732948303,0.2926624119281769,0.2963182330131531,0.3135671615600586,0.30747902393341064,0.30740201473236084
stage1-step9000,0.5235576033592224,0.6128730773925781,1.0000009536743164,0.7850136160850525,0.7110536098480225,0.6555042266845703,0.6537367105484009,0.5761860609054565,0.5448474884033203,0.5074863433837891,0.5044370889663696,0.4936028718948364,0.4768467843532562,0.4643724262714386,0.44652608036994934,0.43636655807495117,0.4157578945159912,0.39732617139816284,0.3881140947341919,0.3773402273654938,0.35295695066452026,0.3498947322368622,0.33107197284698486,0.32109957933425903,0.3548430800437927,0.3312638998031616,0.3500816822052002,0.365095853805542,0.33239519596099854,0.3374020457267761,0.35718804597854614,0.35594239830970764,0.3568802773952484
stage1-step10000,0.5717231631278992,0.652866005897522,0.7850136160850525,1.0000014305114746,0.8377982974052429,0.7479120492935181,0.7493358850479126,0.6608125567436218,0.6502405405044556,0.6065659523010254,0.5743433237075806,0.5669630169868469,0.5341886281967163,0.5280905961990356,0.5070742964744568,0.49153754115104675,0.4652320146560669,0.4549330472946167,0.4538320302963257,0.43356457352638245,0.4013656973838806,0.40397244691848755,0.3861723840236664,0.3607061803340912,0.38945087790489197,0.3864077031612396,0.3893059492111206,0.40550461411476135,0.35854506492614746,0.36146992444992065,0.40069663524627686,0.40088319778442383,0.4014149606227875
stage1-step15000,0.5470502376556396,0.6526886224746704,0.7110536098480225,0.8377982974052429,1.0000014305114746,0.8016371726989746,0.7899166345596313,0.710793137550354,0.68020099401474,0.6465211510658264,0.6105080842971802,0.6080775856971741,0.5614845156669617,0.5562877058982849,0.5446192026138306,0.5110176801681519,0.49143338203430176,0.4821532964706421,0.4807698726654053,0.4650163948535919,0.4284323453903198,0.4285769462585449,0.41196081042289734,0.3877563178539276,0.42266374826431274,0.42570167779922485,0.4246203303337097,0.43564751744270325,0.3974245488643646,0.3981153964996338,0.4320141673088074,0.43150296807289124,0.43188148736953735
stage1-step20000,0.4598899483680725,0.569124698638916,0.6555042266845703,0.7479120492935181,0.8016371726989746,1.0000011920928955,0.8431053757667542,0.7802888751029968,0.719318151473999,0.7094313502311707,0.6760673522949219,0.6553124189376831,0.6212035417556763,0.6145761013031006,0.6031154990196228,0.5645442008972168,0.5567532777786255,0.5376698970794678,0.5156878232955933,0.5137878656387329,0.4641770124435425,0.4730590283870697,0.4539054036140442,0.43051859736442566,0.4647611975669861,0.44748762249946594,0.4591993987560272,0.4729069471359253,0.4411431550979614,0.4453114867210388,0.4645671844482422,0.4752840995788574,0.4753224849700928
stage1-step30000,0.4352978467941284,0.537124514579773,0.6537367105484009,0.7493358850479126,0.7899166345596313,0.8431053757667542,1.000001311302185,0.8518384695053101,0.7829494476318359,0.7659515142440796,0.7316054105758667,0.7206883430480957,0.6837953329086304,0.6604281663894653,0.6593385934829712,0.6201826333999634,0.5992951393127441,0.5764961242675781,0.5677592754364014,0.5489467978477478,0.5122888088226318,0.5189586281776428,0.4974278211593628,0.4731872081756592,0.5060011148452759,0.49720248579978943,0.5028374195098877,0.5118758678436279,0.47750943899154663,0.47781115770339966,0.5118937492370605,0.5088979005813599,0.5088253617286682
stage1-step50000,0.3978578448295593,0.47631680965423584,0.5761860609054565,0.6608125567436218,0.710793137550354,0.7802888751029968,0.8518384695053101,1.0000016689300537,0.7992528676986694,0.7949830889701843,0.7684797644615173,0.7422915101051331,0.7148329019546509,0.6831549406051636,0.6825098991394043,0.6328399181365967,0.6153867244720459,0.5913481712341309,0.5729954242706299,0.5702381134033203,0.5387839078903198,0.5356066226959229,0.5160436630249023,0.49276089668273926,0.5246712565422058,0.5308412313461304,0.520709753036499,0.5356839895248413,0.49940115213394165,0.5061324834823608,0.537718653678894,0.5330697298049927,0.5324407815933228
stage1-step99000,0.392591267824173,0.4609972834587097,0.5448474884033203,0.6502405405044556,0.68020099401474,0.719318151473999,0.7829494476318359,0.7992528676986694,1.0000016689300537,0.8935720920562744,0.8533546924591064,0.8310329914093018,0.7730219960212708,0.75797438621521,0.7494813799858093,0.7092368602752686,0.6834168434143066,0.6578824520111084,0.6645870208740234,0.6414849758148193,0.5914429426193237,0.6022967100143433,0.5832077860832214,0.5252746939659119,0.5586116909980774,0.5633447766304016,0.5647169351577759,0.5814083814620972,0.5292413830757141,0.5342656970024109,0.5834251642227173,0.586988091468811,0.5864758491516113
stage1-step100000,0.40720731019973755,0.4626408815383911,0.5074863433837891,0.6065659523010254,0.6465211510658264,0.7094313502311707,0.7659515142440796,0.7949830889701843,0.8935720920562744,1.0000015497207642,0.8489209413528442,0.8196285367012024,0.7877782583236694,0.7632676362991333,0.7534680366516113,0.6992995738983154,0.684326708316803,0.6609600782394409,0.6505085229873657,0.6447888612747192,0.5985029935836792,0.6016111969947815,0.5817607045173645,0.5384540557861328,0.5604557991027832,0.5622487664222717,0.5554367303848267,0.570011556148529,0.5335140824317932,0.5411144495010376,0.5748993754386902,0.5743793845176697,0.5733580589294434
