revision,cosine_similarity_to_main
stage3-step11921,0.896814227104187
stage2-step47684,0.8431574702262878
stage1-step1413814,0.7870201468467712
stage1-step707000,0.7573012113571167
stage1-step297000,0.6279728412628174
stage1-step99000,0.5384656190872192
stage1-step50000,0.4341040551662445
stage1-step30000,0.3870825469493866
stage1-step20000,0.3621348440647125
stage1-step15000,0.2588924765586853
stage1-step5000,0.11305196583271027
stage1-step10000,0.1104053258895874
stage1-step7000,0.09448908269405365
