trait,vector_trait,eval_model,eval_model_name,extract_revision,eval_revision,layer,coef,target_vector_norm,baseline_path,output_path,baseline_rows,output_rows,baseline_trait_mean,baseline_trait_median,baseline_coherence_mean,baseline_coherence_median,output_trait_mean,output_trait_median,output_coherence_mean,output_coherence_median,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,status,paired_questions,paired_trait_mean_diff,paired_trait_median_diff,trait_question_mean_baseline,trait_question_mean_steered,trait_sign_flip_p_two_sided,trait_sign_flip_p_greater,trait_sign_test_nonzero_pairs,trait_sign_test_positive_pairs,trait_sign_test_negative_pairs,trait_sign_test_p_two_sided,trait_sign_test_p_greater,paired_coherence_mean_diff,paired_coherence_median_diff,coherence_question_mean_baseline,coherence_question_mean_steered,coherence_sign_flip_p_two_sided,coherence_sign_flip_p_greater,trait_sign_flip_exact_available,trait_primary_test,trait_primary_p_two_sided,trait_primary_p_greater,trait_sign_flip_p_two_sided_bonferroni_within_trait,trait_sign_flip_p_greater_bonferroni_within_trait,trait_sign_test_p_two_sided_bonferroni_within_trait,trait_sign_test_p_greater_bonferroni_within_trait,trait_primary_p_two_sided_bonferroni_within_trait,trait_primary_p_greater_bonferroni_within_trait
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step707000,Olmo-3-7B-Instruct,20,0.5,22.83984375,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage1-step707000/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p83984375_coef0p5.csv,60,60,0.249964556019183,1.817762785637944e-12,65.92381622054101,67.81965955814644,2.312967432483188,9.248328124619365e-11,66.51137786367714,67.6076047446105,2.063002876464005,9.066551846055571e-11,0.5875616431361266,-0.2120548135359428,complete,20,2.0630028764640054,2.2214319655526364e-08,0.24996455601918294,2.3129674324831884,0.20319747924804688,0.10159873962402344,19,14,5,0.063568115234375,0.0317840576171875,0.5875616431361148,1.4340182095062346,65.92381622054101,66.51137786367714,0.8191032409667969,0.40955162048339844,True,sign_flip_exact,0.20319747924804688,0.10159873962402344,1.0,1.0,0.953521728515625,0.4767608642578125,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage1-step1413814,Olmo-3-7B-Instruct,20,0.5,22.83984375,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage1-step1413814/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p83984375_coef0p5.csv,60,60,0.249964556019183,1.817762785637944e-12,65.92381622054101,67.81965955814644,3.752490481210301,4.254760438746183e-11,65.05469497092791,66.3480887040699,3.5025259251911183,4.0729841601823885e-11,-0.8691212496131016,-1.4715708540765462,complete,20,3.5025259251911187,9.239998203474155e-07,0.24996455601918294,3.7524904812103017,0.07134246826171875,0.035671234130859375,20,14,6,0.11531829833984375,0.057659149169921875,-0.8691212496131051,0.21922891452986448,65.92381622054101,65.05469497092791,0.7634601593017578,0.6182708740234375,True,sign_flip_exact,0.07134246826171875,0.035671234130859375,1.0,0.5350685119628906,1.0,0.8648872375488281,1.0,0.5350685119628906
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage2-step47684,Olmo-3-7B-Instruct,20,0.5,22.83984375,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage2-step47684/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p83984375_coef0p5.csv,60,60,0.249964556019183,1.817762785637944e-12,65.92381622054101,67.81965955814644,4.197788419931578,1.2572814392795432e-11,65.0717986085492,67.67843964723406,3.9478238639123946,1.0755051607157487e-11,-0.8520176119918119,-0.1412199109123832,complete,20,3.9478238639123937,1.446435808431038e-14,0.24996455601918294,4.197788419931577,0.38349151611328125,0.19174575805664062,18,9,9,1.0,0.5927352905273438,-0.8520176119918272,-3.699563637827218,65.92381622054101,65.0717986085492,0.7643604278564453,0.6178207397460938,True,sign_flip_exact,0.38349151611328125,0.19174575805664062,1.0,1.0,1.0,1.0,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,stage3-step11921,Olmo-3-7B-Instruct,20,0.5,22.83984375,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage3-step11921/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p83984375_coef0p5.csv,60,60,0.249964556019183,1.817762785637944e-12,65.92381622054101,67.81965955814644,1.9963829945124332,4.9186475537455357e-11,65.35055515022329,67.27448846879457,1.7464184384932504,4.7368712751817415e-11,-0.5732610703177272,-0.545171089351868,complete,20,1.7464184384932497,9.066236269093396e-07,0.24996455601918294,1.9963829945124327,0.070404052734375,0.0352020263671875,20,14,6,0.11531829833984375,0.057659149169921875,-0.5732610703177293,-0.8556128845990436,65.92381622054101,65.35055515022329,0.8365249633789062,0.5817384719848633,True,sign_flip_exact,0.070404052734375,0.0352020263671875,1.0,0.5280303955078125,1.0,0.8648872375488281,1.0,0.5280303955078125
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,main,Olmo-3-7B-Instruct,20,0.5,22.83984375,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/main/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p83984375_coef0p5.csv,60,60,0.249964556019183,1.817762785637944e-12,65.92381622054101,67.81965955814644,2.303641876088575,2.538472982207073e-10,65.57624309236708,68.74951939816083,2.053677320069392,2.520295354350693e-10,-0.3475731281739342,0.9298598400143874,complete,20,2.053677320069392,1.5589421122609774e-07,0.24996455601918294,2.3036418760885744,0.2617607116699219,0.13088035583496094,19,15,4,0.0192108154296875,0.00960540771484375,-0.3475731281739229,-3.298907934003111,65.92381622054101,65.5762430923671,0.89874267578125,0.5506296157836914,True,sign_flip_exact,0.2617607116699219,0.13088035583496094,1.0,1.0,0.2881622314453125,0.14408111572265625,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,stage1-step707000,Olmo-3-7B-Instruct-DPO,20,0.5,22.9015625,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage1-step707000/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p9015625_coef0p5.csv,60,60,0.867347818948078,4.4641456143676395e-13,64.49416645140829,66.83196244481353,2.4100448778739603,1.262309818752997e-10,67.14771890025614,68.22549306915161,1.5426970589258824,1.2578456731386297e-10,2.6535524488478472,1.3935306243380836,complete,20,1.5426970589258826,1.026451133666467e-05,0.8673478189480781,2.4100448778739603,0.34375762939453125,0.17187881469726562,19,17,2,0.000728607177734375,0.0003643035888671875,2.6535524488478437,2.5203274976144243,64.49416645140829,67.14771890025614,0.4506244659423828,0.2253122329711914,True,sign_flip_exact,0.34375762939453125,0.17187881469726562,1.0,1.0,0.010929107666015625,0.0054645538330078125,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,stage1-step1413814,Olmo-3-7B-Instruct-DPO,20,0.5,22.9015625,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage1-step1413814/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p9015625_coef0p5.csv,60,60,0.867347818948078,4.4641456143676395e-13,64.49416645140829,66.83196244481353,1.1197521960329788,3.472059215881658e-10,67.42303869913853,66.68958565288344,0.2524043770849008,3.46759507026729e-10,2.92887224773024,-0.14237679193009,complete,20,0.2524043770849006,8.824651343556902e-06,0.8673478189480781,1.1197521960329788,0.281280517578125,0.1406402587890625,18,15,3,0.007537841796875,0.0037689208984375,2.928872247730241,3.9401058995163183,64.49416645140829,67.42303869913852,0.29081153869628906,0.14540576934814453,True,sign_flip_exact,0.281280517578125,0.1406402587890625,1.0,1.0,0.113067626953125,0.0565338134765625,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,stage2-step47684,Olmo-3-7B-Instruct-DPO,20,0.5,22.9015625,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage2-step47684/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p9015625_coef0p5.csv,60,60,0.867347818948078,4.4641456143676395e-13,64.49416645140829,66.83196244481353,3.638879811969379,1.7194775694140603e-11,65.6287403014375,67.09647251189787,2.771531993021301,1.674836113270384e-11,1.1345738500292128,0.2645100670843447,complete,20,2.771531993021301,1.3951016335524692e-10,0.8673478189480781,3.638879811969379,0.6250839233398438,0.3125419616699219,18,14,4,0.0308837890625,0.01544189453125,1.1345738500292253,-0.6154344388887267,64.49416645140829,65.62874030143752,0.6735935211181641,0.33679676055908203,True,sign_flip_exact,0.6250839233398438,0.3125419616699219,1.0,1.0,0.4632568359375,0.23162841796875,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,stage3-step11921,Olmo-3-7B-Instruct-DPO,20,0.5,22.9015625,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/stage3-step11921/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p9015625_coef0p5.csv,60,60,0.867347818948078,4.4641456143676395e-13,64.49416645140829,66.83196244481353,1.4746108792102126,1.362392019845431e-10,65.53779493762735,67.73530152800481,0.6072630602621346,1.3579278742310634e-10,1.0436284862190632,0.903339083191284,complete,20,0.6072630602621345,1.6795188319894196e-07,0.8673478189480781,1.4746108792102128,0.43756103515625,0.218780517578125,18,15,3,0.007537841796875,0.0037689208984375,1.0436284862190668,-1.5939861953032164,64.49416645140829,65.53779493762735,0.6902599334716797,0.34512996673583984,True,sign_flip_exact,0.43756103515625,0.218780517578125,1.0,1.0,0.113067626953125,0.0565338134765625,1.0,1.0
impolite,impolite_character_neutral_q,allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,main,Olmo-3-7B-Instruct-DPO,20,0.5,22.9015625,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/baselines/baseline_impolite.csv,data/model_responses/eval/Olmo-3-7B-Instruct-DPO/instruct_transfer/impolite_base_vectors_to_instruct_layer20_coef0p5_focus_v1/steered/main/steering_results_impolite_character_neutral_q_to_impolite_layer20_targetnorm22p9015625_coef0p5.csv,60,60,0.867347818948078,4.4641456143676395e-13,64.49416645140829,66.83196244481353,1.531538799559914,4.202952479754986e-12,65.95324732204851,67.45693862710054,0.6641909806118359,3.756537918318223e-12,1.4590808706402214,0.6249761822870141,complete,20,0.6641909806118358,1.5224498369085145e-10,0.8673478189480781,1.5315387995599141,0.468994140625,0.2344970703125,17,14,3,0.012725830078125,0.0063629150390625,1.4590808706402238,1.159514285386713,64.49416645140829,65.9532473220485,0.6500530242919922,0.3250265121459961,True,sign_flip_exact,0.468994140625,0.2344970703125,1.0,1.0,0.190887451171875,0.0954437255859375,1.0,1.0
