extract_revision,eval_revision,layer,source_activation_norm,target_activation_norm,transfer_scale,vector_path,output_path,source_norm_file,target_norm_file
stage1-step10000,stage1-step10000,16,194.425,194.425,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step10000/stage1-step10000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv
stage1-step5000,stage1-step5000,16,258.15,258.15,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/stage1-step5000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv
stage1-step7000,stage1-step7000,16,224.85,224.85,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/stage1-step7000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv
stage1-step9000,stage1-step9000,16,202.15,202.15,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step9000/stage1-step9000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv
stage1-step10000,stage1-step10000,16,190.75,190.75,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step10000/stage1-step10000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv
stage1-step5000,stage1-step5000,16,258.15,258.15,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/stage1-step5000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv
stage1-step3000,stage1-step3000,16,306.6,306.6,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step3000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step3000/stage1-step3000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step3000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step3000_norms.csv
stage1-step7000,stage1-step7000,16,224.85,224.85,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/stage1-step7000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv
stage1-step9000,stage1-step9000,16,202.15,202.15,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step9000/stage1-step9000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv
stage1-step10000,stage1-step10000,16,190.75,190.75,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step10000/stage1-step10000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv
stage1-step15000,stage1-step15000,16,153.175,153.175,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step15000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step15000/stage1-step15000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step15000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step15000_norms.csv
stage1-step20000,stage1-step20000,16,120.7375,120.7375,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step20000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step20000/stage1-step20000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step20000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step20000_norms.csv
stage1-step30000,stage1-step30000,16,81.925,81.925,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step30000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step30000/stage1-step30000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step30000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step30000_norms.csv
stage1-step50000,stage1-step50000,16,41.2375,41.2375,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step50000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step50000/stage1-step50000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step50000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step50000_norms.csv
stage1-step99000,stage1-step99000,16,17.6859375,17.6859375,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step99000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step99000/stage1-step99000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step99000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step99000_norms.csv
stage1-step297000,stage1-step297000,16,13.1046875,13.1046875,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step297000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step297000/stage1-step297000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step297000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step297000_norms.csv
stage1-step707000,stage1-step707000,16,14.821875,14.821875,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step707000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step707000/stage1-step707000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step707000_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step707000_norms.csv
stage1-step1413814,stage1-step1413814,16,18.296875,18.296875,1.0,data/persona_vectors/Olmo-3-1025-7B/stage1-step1413814/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step1413814/stage1-step1413814/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step1413814_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step1413814_norms.csv
stage2-step47684,stage2-step47684,16,16.184375,16.184375,1.0,data/persona_vectors/Olmo-3-1025-7B/stage2-step47684/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage2-step47684/stage2-step47684/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage2-step47684_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage2-step47684_norms.csv
stage3-step11921,stage3-step11921,16,16.184375,16.184375,1.0,data/persona_vectors/Olmo-3-1025-7B/stage3-step11921/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage3-step11921/stage3-step11921/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage3-step11921_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage3-step11921_norms.csv
main,main,16,16.184375,16.184375,1.0,data/persona_vectors/Olmo-3-1025-7B/main/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/main/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/main_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_norms.csv
stage1-step3000,main,16,306.6,16.184375,0.052786611219830394,data/persona_vectors/Olmo-3-1025-7B/stage1-step3000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step3000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step3000_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_norms.csv
stage1-step5000,main,16,258.15,16.184375,0.06269368584156498,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/sycophantic_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step5000/steering_results_sycophantic_character_to_sycophantic_unit_norm_coef0.5.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_norms.csv
