layer,mean_l2,std_l2,count
0,3.28515625,1.5847257146964935,20
1,3.637109375,1.716809051435772,20
2,3.919921875,1.8395540758558977,20
3,4.64453125,1.7914243075845226,20
4,5.16015625,1.7904768904169603,20
5,6.05234375,1.9236924523860828,20
6,7.071875,1.9418826440145647,20
7,8.503125,1.7153062089973863,20
8,9.2234375,1.6248580166336875,20
9,9.884375,1.4267635742739562,20
10,10.690625,1.4978467618134323,20
11,11.990625,1.2171102751497103,20
12,12.58125,1.2475131512332787,20
13,13.24375,1.2488901322774568,20
14,14.134375,1.465391772487823,20
15,15.409375,1.6580149793880004,20
16,16.78125,1.8561026877573312,20
17,18.421875,2.087619289256305,20
18,20.828125,2.6096930943838994,20
19,23.665625,2.8332756964113286,20
20,25.68125,2.97134097462747,20
21,27.9875,3.064897021108546,20
22,30.58125,3.4322175320774715,20
23,33.59375,3.589018624568554,20
24,36.58125,3.722036363000775,20
25,39.30625,3.76880182385599,20
26,42.49375,3.949381874103869,20
27,45.4,4.404117391714285,20
28,48.9125,4.986403388214793,20
29,51.9875,5.231201463335232,20
30,57.075,5.55208294246398,20
31,64.4,6.460650122085221,20
32,92.05,1.482396708037433,20
