layer,mean_l2,std_l2,count
0,3.28515625,1.5847257146964935,20
1,3.6375,1.7165813733488207,20
2,3.92734375,1.8422698309104493,20
3,4.6453125,1.795271703191817,20
4,5.1671875,1.7900011184092184,20
5,6.0796875,1.9238994672685592,20
6,7.103125,1.9326577595697048,20
7,8.54375,1.701802812460954,20
8,9.2625,1.607064482215948,20
9,9.928125,1.4063576347696953,20
10,10.746875,1.4792147145952224,20
11,12.003125,1.2042364995610133,20
12,12.54375,1.2265137331069726,20
13,13.209375,1.2271783883669949,20
14,14.090625,1.4485276738381718,20
15,15.340625,1.624936897813277,20
16,16.709375,1.8254146575162002,20
17,18.28125,2.0585663245326886,20
18,20.684375,2.5758398963978726,20
19,23.503125,2.8040480642947285,20
20,25.525,2.928736929121511,20
21,27.81875,3.06580816221433,20
22,30.375,3.4695100518661164,20
23,33.3625,3.5855395340171787,20
24,36.325,3.7064976730061296,20
25,39.0125,3.7185976859563104,20
26,42.1125,3.871752671594638,20
27,44.80625,4.194206383512864,20
28,48.125,4.729230909989479,20
29,51.1625,4.954969096775429,20
30,56.475,5.332037603018147,20
31,64.35,6.528016544096736,20
32,91.975,1.6768646337737692,20
