layer,mean_l2,std_l2,count
0,3.631640625,2.3240070478690296,20
1,3.90546875,2.476186510299469,20
2,4.0796875,2.5443713729708852,20
3,4.701171875,2.5530406998685993,20
4,5.1583984375,2.54454500489211,20
5,5.929296875,2.641398595772332,20
6,6.8892578125,2.702158220753883,20
7,8.221484375,2.7517209580917146,20
8,8.895703125,2.867319771940432,20
9,9.48828125,2.881348607823199,20
10,10.21640625,3.082936733273517,20
11,11.2265625,3.1639274662543624,20
12,11.7046875,3.2532356939620493,20
13,12.1296875,3.4524713040760746,20
14,12.78984375,3.6572363620112402,20
15,13.921875,3.797402226769638,20
16,15.011328125,4.2045677959026655,20
17,16.3296875,4.706144950271802,20
18,18.47890625,5.283496829289968,20
19,21.0203125,6.02378322613528,20
20,22.790625,6.457078087020089,20
21,24.74921875,7.125864248228395,20
22,26.67109375,7.695444121653549,20
23,29.115625,8.313399269966217,20
24,31.9453125,9.059740285624574,20
25,34.2234375,9.63097052543089,20
26,37.15,10.570437106619575,20
27,39.64375,11.289342665208647,20
28,42.671875,12.245038456324874,20
29,45.640625,13.109959760497938,20
30,50.51875,14.58273942243022,20
31,57.634375,17.228182250947874,20
32,92.375,1.2930100540985752,20
