layer,mean_l2,std_l2,count
0,3.596484375,2.0140910996684505,20
1,3.86796875,2.0754269080326435,20
2,4.10546875,2.0132973175532682,20
3,4.82890625,1.694707373281501,20
4,5.23046875,1.5444652552921636,20
5,6.06484375,1.352950650935646,20
6,6.9875,1.293591475795199,20
7,8.109375,1.1881782602475919,20
8,9.0453125,1.160232794192079,20
9,9.5265625,1.1332714587506048,20
10,10.40625,1.103173688727209,20
11,11.346875,1.1392285972863352,20
12,11.990625,1.2999812198162746,20
13,12.534375,1.4173141136935703,20
14,13.409375,1.6445310644299138,20
15,14.8625,1.8449254727495021,20
16,16.1,1.8174931224078787,20
17,17.628125,1.9433857174722196,20
18,19.94375,2.1332468651096064,20
19,22.9125,2.0163782507257593,20
20,25.05,2.137244136733084,20
21,27.175,2.2309611157525837,20
22,29.53125,2.2272723649118547,20
23,32.275,2.4436141266574913,20
24,35.575,2.880266914714643,20
25,38.65,3.2971578670121207,20
26,41.775,3.046411823769088,20
27,44.8625,3.178516753141377,20
28,48.075,3.397701428907482,20
29,51.2125,3.431722417387495,20
30,55.725,3.02479338137334,20
31,63.4375,3.072941384081397,20
32,91.425,1.6376431235162985,20
