layer,mean_l2,std_l2,count
0,3.06015625,1.2617153637725462,20
1,3.387109375,1.4074657830369877,20
2,3.619140625,1.5180571557343197,20
3,4.3671875,1.6904307594053507,20
4,4.94765625,1.5735179891900475,20
5,5.66640625,1.4981130302374353,20
6,6.61640625,1.4060718203090445,20
7,7.928125,1.344988528064463,20
8,8.85,1.4017149094947967,20
9,9.5890625,1.3067311838012945,20
10,10.60625,1.3693206572968977,20
11,12.190625,1.075558539492387,20
12,12.815625,1.068452992356234,20
13,13.51875,1.2860580517612668,20
14,14.271875,1.3959029056044787,20
15,15.871875,1.3482446632102845,20
16,17.265625,1.310098248939746,20
17,18.8,1.540799305555374,20
18,21.31875,1.9261664485448597,20
19,24.1375,2.064165993809615,20
20,26.2875,2.108428028176423,20
21,28.6375,2.156711907047401,20
22,31.0125,2.062272714749443,20
23,34.00625,2.114117354240301,20
24,37.1125,2.236731711672248,20
25,39.75,2.4122085316157698,20
26,42.675,2.5776685201942295,20
27,45.2375,2.98587822089254,20
28,48.6625,3.140735383632233,20
29,51.925,3.5821606608303194,20
30,57.0875,3.2770747245066625,20
31,64.975,3.858351331851487,20
32,92.025,2.4570052909995495,20
