layer,mean_l2,std_l2,count
0,3.631640625,2.3240070478690296,20
1,3.903515625,2.4777282782125845,20
2,4.076953125,2.546058001388724,20
3,4.691796875,2.5496623395371985,20
4,5.1412109375,2.5439161166750752,20
5,5.8884765625,2.634318199767164,20
6,6.8400390625,2.6930435068474017,20
7,8.162109375,2.745898569477289,20
8,8.83125,2.857699304073119,20
9,9.408203125,2.8648682238779406,20
10,10.130078125,3.0706129335756054,20
11,11.1703125,3.1515043995636063,20
12,11.685546875,3.2533972956930786,20
13,12.10546875,3.4552626125491095,20
14,12.769140625,3.6731717083700177,20
15,13.89609375,3.799530562466527,20
16,14.984375,4.219832037163921,20
17,16.328125,4.724804683463115,20
18,18.51015625,5.305920270508416,20
19,21.078125,6.062246289794318,20
20,22.83984375,6.490004850835413,20
21,24.8265625,7.168347273724861,20
22,26.7859375,7.757778826714437,20
23,29.32109375,8.413167279151905,20
24,32.159375,9.175406049427735,20
25,34.4859375,9.780992783159535,20
26,37.375,10.721164086749162,20
27,40.0,11.501749187623592,20
28,43.1046875,12.502782014634544,20
29,46.046875,13.36592675600442,20
30,50.6765625,14.728378203716742,20
31,57.496875,17.183754989724306,20
32,92.575,1.325471614181513,20
