layer,mean_l2,std_l2,count
0,3.06015625,1.2617153637725462,20
1,3.384765625,1.406325681557235,20
2,3.614453125,1.512989563960802,20
3,4.3546875,1.6861836590452575,20
4,4.9140625,1.5757833803282575,20
5,5.60234375,1.509406338636877,20
6,6.54609375,1.4180191106759432,20
7,7.85,1.3656857824001858,20
8,8.746875,1.4102339400344255,20
9,9.4890625,1.3176711745419527,20
10,10.4984375,1.3817474712185112,20
11,12.146875,1.0715196203873227,20
12,12.846875,1.056689072941982,20
13,13.559375,1.2755934586987354,20
14,14.315625,1.3790388126789561,20
15,15.878125,1.3650885674105449,20
16,17.25625,1.3120386093785321,20
17,18.93125,1.55195189600066,20
18,21.475,1.9667549415216699,20
19,24.3375,2.1154565110160157,20
20,26.49375,2.151480231724214,20
21,28.8625,2.2216618217001156,20
22,31.36875,2.130681742424243,20
23,34.50625,2.1281135278691847,20
24,37.7125,2.288933976767343,20
25,40.3375,2.4663675212750005,20
26,43.3125,2.632578346412514,20
27,46.1375,3.1089336998397843,20
28,49.7,3.3406586176979913,20
29,52.9,3.761980861195355,20
30,57.5875,3.7175891045138574,20
31,64.5625,4.309056596286435,20
32,91.925,2.175287337342198,20
